run_tag,run_datetime,dataset,victim_type,seed,d_in,max_rows,budget_target,gen_mode,adv_norm,epochs,batch_size,query_budget,extract_sec,queries_per_sec,ms_per_query,teacher_auroc,teacher_auprc,student_auroc,student_auprc,fidelity_mse,fidelity_mae,fidelity_spearman
CIC-IDS2017_pyod-VAE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-VAE,42,69,200000,10000,gen_var,standard,20,1024,10000,0.7608001232147217,13144.056756649192,0.07608001232147217,0.8519524795500771,0.612980431234566,0.8570120706559311,0.6557160731048759,60.170780181884766,3.746495246887207,0.5864484346705748
CIC-IDS2017_pyod-VAE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-VAE,42,69,200000,50000,gen_var,standard,20,1024,50000,3.5107321739196777,14242.043403776877,0.07021464347839355,0.8519524795500771,0.612980431234566,0.8347560101903071,0.5511024539248583,17.189388275146484,2.6492972373962402,0.9773879021033295
CIC-IDS2017_pyod-VAE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-VAE,42,69,200000,100000,gen_var,standard,20,1024,100000,6.538048267364502,15295.084390729065,0.06538048267364502,0.8519524795500771,0.612980431234566,0.8359094686728079,0.6071229679815019,23.90650749206543,2.278425693511963,0.9807112003122173
CIC-IDS2017_pyod-VAE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-VAE,42,69,200000,500000,gen_var,standard,20,1024,500000,34.56536054611206,14465.3488955503,0.06913072109222412,0.8519524795500771,0.612980431234566,0.8429950463827747,0.5796818554788867,32.847896575927734,1.4342951774597168,0.9801815100240011
CIC-IDS2017_pyod-VAE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-VAE,42,69,200000,1000000,gen_var,standard,20,1024,1000000,66.74060845375061,14983.381529896784,0.06674060845375061,0.8519524795500771,0.612980431234566,0.8498706403126614,0.6180685002686085,30.466176986694336,1.1436723470687866,0.9905528498938052
CIC-IDS2017_pyod-DeepSVDD_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,50,gen_var,standard,20,1024,50,0.059606075286865234,838.8406678239722,1.1921215057373047,0.8287063440287896,0.6374403397141365,0.7464821387822936,0.3621734941247635,3830.2265625,2.5562334060668945,0.3565903558316817
CIC-IDS2017_pyod-DeepSVDD_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,100,gen_var,standard,20,1024,100,0.06879878044128418,1453.514137294109,0.6879878044128418,0.8287063440287896,0.6374403397141365,0.44007836475244383,0.14947461599682726,3833.353271484375,2.5708987712860107,-0.11422297444551383
CIC-IDS2017_pyod-DeepSVDD_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,200,gen_var,standard,20,1024,200,0.06937432289123535,2882.911020458662,0.34687161445617676,0.8287063440287896,0.6374403397141365,0.5661512692032897,0.22472927019349365,3834.310791015625,2.571622848510742,0.046145018128451995
CIC-IDS2017_pyod-DeepSVDD_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,500,gen_var,standard,20,1024,500,0.06870150566101074,7277.860873488226,0.13740301132202148,0.8287063440287896,0.6374403397141365,0.4504162591879276,0.15383891227672541,3835.099609375,2.5656700134277344,-0.027530374647665865
CIC-IDS2017_pyod-DeepSVDD_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,1000,gen_var,standard,20,1024,1000,0.07410669326782227,13494.057768655131,0.07410669326782227,0.8287063440287896,0.6374403397141365,0.6720738445538585,0.3351841455701902,3834.922607421875,2.564480781555176,0.22272605881937854
CIC-IDS2017_pyod-DeepSVDD_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,2000,gen_var,standard,20,1024,2000,0.1481025218963623,13504.158973062862,0.07405126094818115,0.8287063440287896,0.6374403397141365,0.7726912241457076,0.5084543719338577,3831.648681640625,2.5472185611724854,0.6877073412127188
CIC-IDS2017_pyod-DeepSVDD_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,5000,gen_var,standard,20,1024,5000,0.3762850761413574,13287.79778159916,0.07525701522827148,0.8287063440287896,0.6374403397141365,0.7427689709334198,0.576193511776628,3829.853759765625,2.519282579421997,0.7893425649633128
CIC-IDS2017_pyod-DeepSVDD_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,10000,gen_var,standard,20,1024,10000,0.7608323097229004,13143.500706012417,0.07608323097229004,0.8287063440287896,0.6374403397141365,0.8010409092392876,0.6303706038910878,3817.947509765625,2.421058177947998,0.8010183502150722
CIC-IDS2017_pyod-DeepSVDD_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,50000,gen_var,standard,20,1024,50000,3.8151228427886963,13105.737891116521,0.07630245685577393,0.8287063440287896,0.6374403397141365,0.7303619115056859,0.6529930603578343,3744.948486328125,2.010786294937134,0.8415600575310839
CIC-IDS2017_pyod-DeepSVDD_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,100000,gen_var,standard,20,1024,100000,7.756279706954956,12892.778984018754,0.07756279706954956,0.8287063440287896,0.6374403397141365,0.7358215254670233,0.6823552129683266,3777.8330078125,1.6503050327301025,0.7703333575931888
CIC-IDS2017_pyod-DeepSVDD_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,500000,gen_var,standard,20,1024,500000,37.13331460952759,13464.997812818763,0.07426662921905518,0.8287063440287896,0.6374403397141365,0.8423889871704657,0.6916420604824237,3778.293701171875,0.9896563291549683,0.9149735351149328
CIC-IDS2017_pyod-DeepSVDD_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,1000000,gen_var,standard,20,1024,1000000,66.70450210571289,14991.491854855705,0.0667045021057129,0.8287063440287896,0.6374403397141365,0.7954336804609334,0.6453900787313204,3783.019287109375,0.8385743498802185,0.9637774221902963
CIC-IDS2017_DRocc_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,DRocc,42,69,200000,50,gen_var,standard,20,1024,50,0.03850126266479492,1298.6587072563566,0.7700252532958984,0.665618784186891,0.3199687029006473,0.7441950059653123,0.2429657282350679,213.3973846435547,13.138558387756348,0.33022120156346213
CIC-IDS2017_DRocc_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,DRocc,42,69,200000,100,gen_var,standard,20,1024,100,0.052942514419555664,1888.8411533975511,0.5294251441955566,0.665618784186891,0.3199687029006473,0.264373842791952,0.1026833581791615,214.71841430664062,13.141034126281738,-0.0762466055076717
CIC-IDS2017_DRocc_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,DRocc,42,69,200000,200,gen_var,standard,20,1024,200,0.07116365432739258,2810.4234091167978,0.3558182716369629,0.665618784186891,0.3199687029006473,0.317722526920194,0.12780746607540705,215.74203491210938,13.162117958068848,-0.10403519410451287
CIC-IDS2017_DRocc_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,DRocc,42,69,200000,500,gen_var,standard,20,1024,500,0.06634950637817383,7535.851090588954,0.13269901275634766,0.665618784186891,0.3199687029006473,0.22656605535687324,0.10261617100901957,214.53976440429688,13.13147258758545,-0.005037795546192526
CIC-IDS2017_DRocc_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,DRocc,42,69,200000,1000,gen_var,standard,20,1024,1000,0.060602664947509766,16500.924519839802,0.060602664947509766,0.665618784186891,0.3199687029006473,0.18633924835300658,0.08967256798582879,214.27711486816406,13.12352466583252,-0.06738008761129712
CIC-IDS2017_DRocc_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,DRocc,42,69,200000,2000,gen_var,standard,20,1024,2000,0.12645578384399414,15815.804854504388,0.06322789192199707,0.665618784186891,0.3199687029006473,0.19771032163020835,0.09469902992961551,212.35690307617188,13.059221267700195,-0.033933551475739086
CIC-IDS2017_DRocc_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,DRocc,42,69,200000,5000,gen_var,standard,20,1024,5000,0.32688426971435547,15295.93334169674,0.0653768539428711,0.665618784186891,0.3199687029006473,0.19000103482819647,0.08916523604443072,199.7069854736328,12.482561111450195,-0.07913333956439164
CIC-IDS2017_DRocc_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,DRocc,42,69,200000,10000,gen_var,standard,20,1024,10000,0.7458739280700684,13407.091498525455,0.07458739280700684,0.665618784186891,0.3199687029006473,0.183927327334582,0.08822530883929167,112.85050964355469,6.734338760375977,-0.07143919050801446
CIC-IDS2017_DRocc_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,DRocc,42,69,200000,50000,gen_var,standard,20,1024,50000,3.853785514831543,12974.256041902634,0.07707571029663086,0.665618784186891,0.3199687029006473,0.4363454695180041,0.16248368419171982,14.422002792358398,1.1248538494110107,0.7364205962347697
CIC-IDS2017_DRocc_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,DRocc,42,69,200000,100000,gen_var,standard,20,1024,100000,6.60651969909668,15136.562752347982,0.0660651969909668,0.665618784186891,0.3199687029006473,0.5552788962540101,0.21997878426283318,17.803300857543945,0.8455166220664978,0.8539025198742071
CIC-IDS2017_DRocc_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,DRocc,42,69,200000,500000,gen_var,standard,20,1024,500000,33.444921016693115,14949.953081080344,0.06688984203338623,0.665618784186891,0.3199687029006473,0.6023801035544376,0.2584012956805605,22.195724487304688,0.42639419436454773,0.9553827032465022
CIC-IDS2017_DRocc_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,DRocc,42,69,200000,1000000,gen_var,standard,20,1024,1000000,67.22937488555908,14874.450367897154,0.06722937488555908,0.665618784186891,0.3199687029006473,0.644672864417422,0.30096912158108424,21.826292037963867,0.22516722977161407,0.9837003970261242
CIC-IDS2017_NeuTraL-AD_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,NeuTraL-AD,42,69,200000,50,gen_var,standard,20,1024,50,0.04105687141418457,1217.822943584681,0.8211374282836914,0.8886384981700304,0.7663634225462652,0.7596337010485135,0.43875524937364596,0.46461933851242065,0.30983468890190125,0.5856101524163015
